id,Predicted Likes
664,"low: (0, 3]"
665,"low: (0, 3]"
666,"low: (0, 3]"
667,"low: (0, 3]"
668,"normal: (3, 26]"
669,"low: (0, 3]"
670,"low: (0, 3]"
671,"low: (0, 3]"
672,"low: (0, 3]"
673,"low: (0, 3]"
674,"low: (0, 3]"
675,"low: (0, 3]"
676,"low: (0, 3]"
677,"low: (0, 3]"
678,"low: (0, 3]"
679,"low: (0, 3]"
680,"low: (0, 3]"
681,"low: (0, 3]"
682,"low: (0, 3]"
683,"low: (0, 3]"
684,"low: (0, 3]"
685,"low: (0, 3]"
686,"low: (0, 3]"
687,"low: (0, 3]"
688,"low: (0, 3]"
689,"low: (0, 3]"
690,"low: (0, 3]"
691,"low: (0, 3]"
692,"low: (0, 3]"
693,"low: (0, 3]"
694,"low: (0, 3]"
695,"low: (0, 3]"
696,"low: (0, 3]"
697,"low: (0, 3]"
698,"low: (0, 3]"
699,"low: (0, 3]"
700,"low: (0, 3]"
701,"low: (0, 3]"
702,"low: (0, 3]"
703,"low: (0, 3]"
704,"low: (0, 3]"
705,"low: (0, 3]"
706,"low: (0, 3]"
707,"low: (0, 3]"
708,"low: (0, 3]"
709,"low: (0, 3]"
710,"low: (0, 3]"
711,"low: (0, 3]"
712,"low: (0, 3]"
713,"low: (0, 3]"
714,"low: (0, 3]"
715,"low: (0, 3]"
716,"low: (0, 3]"
717,"low: (0, 3]"
718,"low: (0, 3]"
719,"low: (0, 3]"
720,"low: (0, 3]"
721,"low: (0, 3]"
722,"low: (0, 3]"
723,"normal: (3, 26]"
724,"low: (0, 3]"
725,"low: (0, 3]"
726,"low: (0, 3]"
727,"low: (0, 3]"
728,"low: (0, 3]"
729,"low: (0, 3]"
730,"low: (0, 3]"
731,"low: (0, 3]"
732,"low: (0, 3]"
733,"low: (0, 3]"
734,"low: (0, 3]"
735,"low: (0, 3]"
736,"low: (0, 3]"
737,"low: (0, 3]"
738,"low: (0, 3]"
739,"low: (0, 3]"
740,"low: (0, 3]"
741,"low: (0, 3]"
742,"low: (0, 3]"
743,"normal: (3, 26]"
744,"normal: (3, 26]"
745,"low: (0, 3]"
746,"low: (0, 3]"
747,"low: (0, 3]"
748,"low: (0, 3]"
749,"low: (0, 3]"
750,"low: (0, 3]"
751,"low: (0, 3]"
752,"normal: (3, 26]"
753,"low: (0, 3]"
754,"low: (0, 3]"
755,"low: (0, 3]"
756,"low: (0, 3]"
757,"low: (0, 3]"
758,"normal: (3, 26]"
759,"low: (0, 3]"
760,"low: (0, 3]"
761,"low: (0, 3]"
762,"low: (0, 3]"
763,"low: (0, 3]"
764,"low: (0, 3]"
765,"low: (0, 3]"
766,"normal: (3, 26]"
767,"low: (0, 3]"
768,"low: (0, 3]"
769,"low: (0, 3]"
770,"low: (0, 3]"
771,"normal: (3, 26]"
772,"low: (0, 3]"
773,"low: (0, 3]"
774,"low: (0, 3]"
775,"low: (0, 3]"
776,"low: (0, 3]"
777,"low: (0, 3]"
778,"low: (0, 3]"
779,"low: (0, 3]"
780,"low: (0, 3]"
781,"low: (0, 3]"
782,"low: (0, 3]"
783,"normal: (3, 26]"
784,"low: (0, 3]"
785,"low: (0, 3]"
786,"low: (0, 3]"
787,"low: (0, 3]"
788,"low: (0, 3]"
789,"low: (0, 3]"
790,"normal: (3, 26]"
791,"low: (0, 3]"
792,"low: (0, 3]"
793,"low: (0, 3]"
794,"low: (0, 3]"
795,"low: (0, 3]"
796,"low: (0, 3]"
797,"normal: (3, 26]"
798,"low: (0, 3]"
799,"low: (0, 3]"
800,"low: (0, 3]"
801,"low: (0, 3]"
802,"normal: (3, 26]"
803,"low: (0, 3]"
804,"low: (0, 3]"
805,"low: (0, 3]"
806,"low: (0, 3]"
807,"low: (0, 3]"
808,"low: (0, 3]"
809,"low: (0, 3]"
810,"low: (0, 3]"
811,"low: (0, 3]"
812,"low: (0, 3]"
813,"low: (0, 3]"
814,"low: (0, 3]"
815,"normal: (3, 26]"
816,"low: (0, 3]"
817,"low: (0, 3]"
818,"normal: (3, 26]"
819,"low: (0, 3]"
820,"normal: (3, 26]"
821,"low: (0, 3]"
822,"low: (0, 3]"
823,"low: (0, 3]"
824,"low: (0, 3]"
825,"low: (0, 3]"
826,"low: (0, 3]"
827,"high: (26, 233]"
828,"low: (0, 3]"
829,"high: (26, 233]"
830,"low: (0, 3]"
831,"low: (0, 3]"
832,"low: (0, 3]"
833,"low: (0, 3]"
834,"low: (0, 3]"
835,"low: (0, 3]"
836,"normal: (3, 26]"
837,"low: (0, 3]"
838,"normal: (3, 26]"
839,"low: (0, 3]"
840,"normal: (3, 26]"
841,"high: (26, 233]"
842,"low: (0, 3]"
843,"low: (0, 3]"
844,"low: (0, 3]"
845,"low: (0, 3]"
846,"normal: (3, 26]"
847,"low: (0, 3]"
848,"low: (0, 3]"
849,"low: (0, 3]"
850,"low: (0, 3]"
851,"low: (0, 3]"
852,"low: (0, 3]"
853,"low: (0, 3]"
854,"low: (0, 3]"
855,"low: (0, 3]"
856,"low: (0, 3]"
857,"famous: (233, 4997]"
858,"low: (0, 3]"
859,"low: (0, 3]"
860,"low: (0, 3]"
861,"low: (0, 3]"
862,"low: (0, 3]"
863,"low: (0, 3]"
864,"low: (0, 3]"
865,"low: (0, 3]"
866,"low: (0, 3]"
867,"low: (0, 3]"
868,"low: (0, 3]"
869,"low: (0, 3]"
870,"low: (0, 3]"
871,"low: (0, 3]"
872,"low: (0, 3]"
873,"low: (0, 3]"
874,"low: (0, 3]"
875,"low: (0, 3]"
876,"low: (0, 3]"
877,"low: (0, 3]"
878,"low: (0, 3]"
879,"low: (0, 3]"
880,"normal: (3, 26]"
881,"low: (0, 3]"
882,"normal: (3, 26]"
883,"low: (0, 3]"
884,"low: (0, 3]"
885,"normal: (3, 26]"
886,"low: (0, 3]"
887,"low: (0, 3]"
888,"low: (0, 3]"
889,"low: (0, 3]"
890,"low: (0, 3]"
891,"low: (0, 3]"
892,"low: (0, 3]"
893,"low: (0, 3]"
894,"low: (0, 3]"
895,"low: (0, 3]"
896,"low: (0, 3]"
897,"low: (0, 3]"
