id,coordinates,longitude,latitude
320,"[46.603354, 1.8883335]",1.8883335,46.603354
321,"[21.394833, -157.72989134661873]",-157.72989134661873,21.394833
322,"[33.7490987, -84.3901849]",-84.3901849,33.7490987
323,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
324,"[46.9599823, 22.0541733]",22.0541733,46.9599823
325,"[30.3843674, 76.770421]",76.770421,30.3843674
330,"[37.1298517, -80.4089389]",-80.4089389,37.1298517
333,"[10.9094334, 78.3665347]",78.3665347,10.9094334
334,"[53.1823034, -0.2031208542548153]",-0.2031208542548153,53.1823034
335,"[39.88771115, -75.19078391488154]",-75.19078391488154,39.88771115
337,"[52.46018745, -6.606515459159162]",-6.606515459159162,52.46018745
338,"[22.3511148, 78.6677428]",78.6677428,22.3511148
339,"[38.5815719, -121.4943996]",-121.4943996,38.5815719
341,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
343,"[45.7634448, 10.1158821]",10.1158821,45.7634448
344,"[33.53155445, 75.3109635338607]",75.3109635338607,33.53155445
347,"[7.5554942, 80.7137847]",80.7137847,7.5554942
348,"[18.9387711, 72.8353355]",72.8353355,18.9387711
349,"[36.8414197, -2.4628135]",-2.4628135,36.8414197
351,"[24.0002488, 53.9994829]",53.9994829,24.0002488
352,"[10.3528744, 76.5120396]",76.5120396,10.3528744
355,"[18.9387711, 72.8353355]",72.8353355,18.9387711
356,"[23.3700354, 85.3250132]",85.3250132,23.3700354
357,"[41.8755616, -87.6244212]",-87.6244212,41.8755616
358,"[12.7503486, 122.7312101]",122.7312101,12.7503486
359,"[25.2856329, 51.5264162]",51.5264162,25.2856329
361,"[28.6517178, 77.2219388]",77.2219388,28.6517178
364,"[14.5906216, 120.9799696]",120.9799696,14.5906216
365,"[56.8406494, 24.7537645]",24.7537645,56.8406494
368,"[22.5677459, 88.3476023]",88.3476023,22.5677459
369,"[40.7127281, -74.0060152]",-74.0060152,40.7127281
371,"[26.1805978, 91.753943]",91.753943,26.1805978
372,"[53.5120412, -2.2434612]",-2.2434612,53.5120412
373,"[52.3152187, 0.0170499]",0.0170499,52.3152187
374,"[4.7676576, 7.0188527]",7.0188527,4.7676576
375,"[39.2908816, -76.610759]",-76.610759,39.2908816
376,"[18.521428, 73.8544541]",73.8544541,18.521428
377,"[-12.0621065, -77.0365256]",-77.0365256,-12.0621065
378,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
379,"[45.3842702, -73.995482]",-73.995482,45.3842702
381,"[29.9499323, -90.0701156]",-90.0701156,29.9499323
382,"[38.27312, -98.5821872]",-98.5821872,38.27312
384,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
385,"[46.1565155, -1.1544615]",-1.1544615,46.1565155
386,"[30.3308401, 71.247499]",71.247499,30.3308401
387,"[40.1053196, -85.6802541]",-85.6802541,40.1053196
388,"[40.7127281, -74.0060152]",-74.0060152,40.7127281
389,"[34.0980031, -118.3295232]",-118.3295232,34.0980031
390,"[14.0734578, 120.6322736]",120.6322736,14.0734578
391,"[36.0696054, -106.3237938]",-106.3237938,36.0696054
394,"[18.9387711, 72.8353355]",72.8353355,18.9387711
398,"[49.157677, -121.9514307]",-121.9514307,49.157677
399,"[42.6055893, -83.1499304]",-83.1499304,42.6055893
400,"[36.0696054, -106.3237938]",-106.3237938,36.0696054
401,"[42.6055893, -83.1499304]",-83.1499304,42.6055893
402,"[46.603354, 1.8883335]",1.8883335,46.603354
403,"[24.0510297, 88.23779874587402]",88.23779874587402,24.0510297
404,"[40.735657, -74.1723667]",-74.1723667,40.735657
405,"[18.521428, 73.8544541]",73.8544541,18.521428
407,"[28.6141793, 77.2022662]",77.2022662,28.6141793
409,"[36.0696054, -106.3237938]",-106.3237938,36.0696054
411,"[24.0510297, 88.23779874587402]",88.23779874587402,24.0510297
