bigram,freq
"('home', 'process')",6
"('preference', 'bandz')",6
"('young', 'lady')",6
"('imagine', 'hats')",6
"('old', 'school')",6
"('response', 'celebrities')",6
"('drop', 'usernames')",6
"('feel', 'boring')",6
"('best', 'quaranotine')",6
"('health', 'team')",6
"('instagram', 'shoot')",6
"('wanot', 'preference')",6
"('safe', 'quaranotine')",6
"('unique', 'way')",6
"('way', 'counotry')",6
"('quaranotine', 'bet')",6
"('roommate', 'quaranotine')",6
"('forget', 'kind')",6
"('fo', 'ho')",6
"('met', 'singing')",6
"('quaranotine', 'look')",6
"('little', 'tune')",6
"('tune', 'lanfer')",6
"('lanfer', 'household')",6
"('household', 'kids')",6
"('build', 'fo')",6
"('shoot', 'questions')",6
"('day', 'week')",6
"('altergem', 'quaranotine')",6
"('havoc', 'delhi')",6
"('group', 'help')",6
"('preference', 'miss')",6
"('creative', 'ways')",6
"('complete', 'havoc')",6
"('cumshot', 'video')",6
"('good', 'preference')",6
"('story', 'quaranotine')",6
"('stress', 'incorpo')",6
"('practice', 'activities')",6
"('way', 'practice')",6
"('productive', 'week')",6
"('positive', 'way')",6
"('preference', 'india')",6
"('touch', 'face')",6
"('salam', 'unfounate')",6
"('unfounate', 'people')",6
"('india', 'fight')",6
"('fight', 'fatal')",6
"('fatal', 'viruses')",6
"('viruses', 'time')",6
"('time', 'corona')",6
"('dangerous', 'co')",6
"('money', 'sleep')",6
"('preference', 'please')",6
"('tv', 'show')",6
"('covid', 'cases')",6
"('good', 'laugh')",6
"('book', 'monoth')",6
"('proper', 'guidelin')",6
"('push', 'ups')",6
"('watch', 'online')",6
"('update', 'eric')",6
"('federal', 'health')",6
"('productive', 'quaranotine')",6
"('amp', 'direc')",6
"('mini', 'update')",6
"('due', 'amp')",6
"('coronavirus', 'pandemic')",6
"('eric', 'nam')",6
"('nam', 'pt')",6
"('pt', 'wanot')",6
"('wanot', 'positivity')",6
"('guys', 'pictures')",6
"('amp', 'others')",6
"('washable', 'layer')",6
"('university', 'offering')",6
"('end', 'quaranotine')",6
"('currenot', 'situation')",6
"('follow', 'retweet')",6
"('preference', 'everyone')",6
"('new', 'challenge')",6
"('responsibility', 'caring')",6
"('positivity', 'listen')",6
"('health', 'orders')",6
"('episode', 'spotify')",6
"('aka', 'fresh')",6
"('friday', 'night')",6
"('spotify', 'apple')",6
"('prince', 'self')",6
"('covid', 'aka')",6
"('prince', 'covid')",6
"('version', 'fresh')",6
"('hotel', 'preference')",6
"('provincial', 'amp')",6
"('way', 'communicate')",6
"('crazy', 'time')",5
"('music', 'links')",5
"('fire', 'share')",5
"('live', 'quaranotine')",5
"('preference', 'guys')",5
"('spenot', 'time')",5
"('first', 'responders')",5
"('immune', 'system')",5
"('family', 'sees')",5
"('drop', 'music')",5
"('corona', 'curse')",5
"('big', 'cock')",5
"('preference', 'home')",5
"('ton', 'cool')",5
"('download', 'eversong')",5
"('hit', 'wan')",5
"('club', 'quaranotine')",5
"('answer', 'commenot')",5
"('eah', 'download')",5
"('sees', 'days')",5
"('daily', 'com')",5
"('animal', 'crossing')",5
"('times', 'time')",5
"('preference', 'decluttering')",5
"('fanotasy', 'world')",5
"('due', 'join')",5
"('tr', 'preference')",5
"('quaranotine', 'math')",5
"('math', 'workouts')",5
"('workouts', 'workouts')",5
"('workouts', 'week')",5
"('new', 'series')",5
"(' st', 'episode')",5
"('everyone', 'quaranotine')",5
"('watch', 'quaranotine')",5
"('share', 'thread')",5
"('sure', 'place')",5
"('thread', 'suppo')",5
"('lol', 'bhai')",5
"('join', 'cam')",5
"('khud', 'ka')",5
"('ka', 'ghar')",5
"('cool', 'prizes')",5
"('ghar', 'mohalla')",5
