id,coordinates
511,"(40.0757384, -74.4041622)"
512,
514,"(7.5554942, 80.7137847)"
515,
516,"(61.4521316, 5.8572636)"
517,"(27.1752554, 78.0098161)"
519,"(17.4250487, 78.5354801)"
520,"(44.9772995, -93.2654692)"
521,"(61.0666922, -107.9917071)"
522,"(42.461489, -92.3231652)"
523,"(45.0824686, 14.1756724)"
524,"(51.541289, -0.0035472)"
525,"(22.3511148, 78.6677428)"
526,"(54.7023545, -3.2765753)"
527,"(-41.289636, 174.7757724)"
529,"(14.55779845, 121.13996077473509)"
530,
531,"(29.4246002, -98.4951405)"
532,"(18.9387711, 72.8353355)"
533,"(36.7014631, -118.7559974)"
534,"(26.2886951, -98.3175282)"
535,"(-20.1053948, 28.5426856)"
538,"(43.9792797, -120.737257)"
539,"(28.6707787, 75.0361419)"
540,"(38.3396367, -122.7010984)"
542,"(41.3259134, -75.7893604)"
544,"(29.8108436, -95.1501276)"
545,"(54.7023545, -3.2765753)"
546,
547,"(42.3315509, -83.0466403)"
548,"(35.6729639, -79.0392919)"
549,"(28.6141793, 77.2022662)"
550,"(39.9527237, -75.1635262)"
551,
553,"(51.5073219, -0.1276474)"
554,"(39.7837304, -100.4458825)"
555,"(7.153843350000001, -75.444040009994)"
556,"(40.1378499, -79.8981035)"
557,"(29.4246002, -98.4951405)"
558,"(6.698081, -1.6230404)"
559,"(13.0801721, 80.2838331)"
561,"(52.6423036, -0.6632643077026672)"
562,"(18.521428, 73.8544541)"
563,"(29.7589382, -95.3676974)"
564,
565,
566,
567,"(7.153843350000001, -75.444040009994)"
569,
571,
573,"(6.4550575, 3.3941795)"
576,
578,
580,"(25.2856329, 51.5264162)"
581,"(28.6517178, 77.2219388)"
582,"(-0.2428667, -78.5099157)"
583,
584,"(37.642043, -7.6606447)"
585,
586,"(41.0534302, -73.5387341)"
587,"(14.8971921, 100.83273)"
588,"(51.5073219, -0.1276474)"
589,"(-2.0777619, -79.9205892)"
591,"(42.8867166, -78.8783922)"
592,"(42.6384261, 12.674297)"
593,"(-28.8166236, 24.991639)"
595,"(40.0757384, -74.4041622)"
596,"(41.000028, 19.9999619)"
597,
598,
600,"(31.8160381, -99.5120986)"
601,
602,
603,"(0.94000845, 101.65561770919261)"
604,"(27.7567667, -81.4639835)"
607,"(51.3894329, 1.3821515)"
608,"(40.2253569, -82.6881395)"
609,
611,"(5.4065013, 100.2559077)"
613,"(18.4357733, -69.9699468)"
614,"(-7.6952864000000005, 110.34462923977276)"
615,"(54.5474199, -3.5885335)"
616,"(14.8971921, 100.83273)"
617,
618,"(-2.4833826, 117.8902853)"
620,"(7.153843350000001, -75.444040009994)"
621,"(-41.289636, 174.7757724)"
622,"(40.9699889, -77.7278831)"
624,"(51.3894329, 1.3821515)"
626,"(39.7837304, -100.4458825)"
627,"(51.5073219, -0.1276474)"
628,
629,"(19.0624996, 72.9288123)"
630,
631,"(39.7837304, -100.4458825)"
632,
633,"(4.5693754, 102.2656823)"
634,"(17.38878595, 78.46106473453146)"
635,"(39.9527237, -75.1635262)"
637,"(50.5144061, 2.258007849773996)"
638,
639,
640,"(10.0206764, 122.97711315607921)"
641,
644,
645,"(53.344122, -6.258102865157841)"
646,
647,"(34.2331373, -102.4107493)"
648,
649,"(-29.861825, 31.009909)"
650,"(51.3894329, 1.3821515)"
651,"(40.7127281, -74.0060152)"
653,"(28.739251, -81.867991)"
655,"(18.9387711, 72.8353355)"
657,"(26.8105777, 73.7684549)"
658,"(-8.3304977, 115.0906401)"
659,"(51.3894329, 1.3821515)"
660,"(40.6501038, -73.9495823)"
661,"(39.4623305, -76.2791236)"
663,"(13.0801721, 80.2838331)"
664,"(11.6612012, 78.1602498)"
665,"(22.3511148, 78.6677428)"
666,"(-41.33581665, -72.99258903620245)"
667,"(43.4603175, 143.33071579283663)"
668,
669,"(47.9027336, 1.9086066)"
670,"(29.7589382, -95.3676974)"
671,"(45.036854649999995, 9.137825082826026)"
673,
674,"(52.4967692, -2.1661721)"
676,"(49.07507045, 2.209811443668384)"
677,"(22.41540825, 72.03149703699282)"
678,"(7.0859128, 125.617117)"
680,"(12.7503486, 122.7312101)"
681,
683,"(56.7861112, -4.1140518)"
684,"(44.5438564, 83.576099)"
685,"(8.559559, -81.1308434)"
686,"(-2.4833826, 117.8902853)"
687,"(22.3307998, 91.8412863)"
689,"(19.2953549, -81.3807776)"
690,"(28.6141793, 77.2022662)"
691,"(44.8489423, -75.0807625)"
692,
693,"(55.760176, -4.179078)"
695,"(45.4371908, 12.3345898)"
698,"(22.3511148, 78.6677428)"
700,"(40.0757384, -74.4041622)"
703,"(47.9027336, 1.9086066)"
704,"(45.022172, 4.3221548)"
705,"(56.1883108, -3.9640877)"
706,"(-2.4833826, 117.8902853)"
708,"(47.4768545, 8.0517531)"
709,
710,"(24.578721, 73.6862571)"
711,"(35.7316726, 139.9043843)"
712,
714,"(40.7944504, -77.8616386)"
715,
716,
718,
720,"(18.03908515, 121.77993240452687)"
721,"(-34.9964963, -64.9672817)"
722,
723,"(35.2225717, -97.4394816)"
725,"(16.3131877, 121.1297478)"
726,"(41.6500201, -72.7342163)"
727,"(50.7711984, 6.1824957)"
729,"(12.7503486, 122.7312101)"
730,"(27.1752554, 78.0098161)"
731,"(40.5887558, -75.564283)"
732,"(46.9599823, 22.0541733)"
733,"(42.6384261, 12.674297)"
734,
735,"(3.5532961, 101.63956564566757)"
737,
739,"(11.6736962, 122.1872093)"
740,"(-6.1753942, 106.827183)"
741,
743,"(1.3045676, 103.8089334)"
744,"(-41.289636, 174.7757724)"
746,"(26.8105777, 73.7684549)"
747,"(42.3317642, -71.1211635)"
748,"(40.9699889, -77.7278831)"
750,
751,"(36.8252277, -119.7029194)"
755,"(-2.4833826, 117.8902853)"
756,"(1.4419683, 38.4313975)"
758,"(36.638392, 127.6961188)"
759,"(7.5554942, 80.7137847)"
760,"(53.1086818, -1.0633967)"
761,
762,"(22.3511148, 78.6677428)"
763,
764,"(-6.9344694, 107.6049539)"
766,"(-0.2428667, -78.5099157)"
768,"(27.7567667, -81.4639835)"
770,"(37.1317924, -80.5764477)"
771,"(13.0801721, 80.2838331)"
775,"(18.9387711, 72.8353355)"
776,"(33.4484367, -112.0741417)"
778,"(51.0534234, -114.0625892)"
779,"(38.9597594, 34.9249653)"
780,"(52.7954791, -0.5402402866174321)"
782,"(51.0834196, 10.4234469)"
783,"(46.0193462, -60.372133)"
784,"(34.2331373, -102.4107493)"
785,
786,"(33.53155445, 75.3109635338607)"
788,"(52.7954791, -0.5402402866174321)"
789,"(14.8971921, 100.83273)"
